Data,IBOV,ICON,IEEX,IFNC,IGCX,IMAT,INDX,UTIL
2007-01-02,45382.00,1026.04,14063.00,3092.13,5270.00,1426.56,7230.00,1386.01
2007-01-03,44445.00,1016.33,13999.00,3074.62,5202.00,1393.05,7157.00,1375.62
2007-01-04,44019.00,1020.84,13940.00,3082.45,5185.00,1372.94,7093.00,1367.55
2007-01-05,42245.00,976.34,13444.00,2961.41,4999.00,1326.81,6871.00,1316.81
2007-01-08,42829.00,992.14,13596.00,3026.28,5077.00,1351.62,6978.00,1318.96
2007-01-09,42006.00,979.64,13408.00,2965.78,4997.00,1323.06,6870.00,1303.10
2007-01-10,42335.00,984.54,13532.00,2951.72,5014.00,1339.97,6914.00,1314.03
2007-01-11,42670.00,994.99,13634.00,3002.60,5070.00,1350.15,6960.00,1323.60
2007-01-12,43094.00,999.80,13626.00,3033.19,5115.00,1360.60,6997.00,1320.84
2007-01-15,42919.00,997.54,13573.00,3047.24,5115.00,1353.22,6961.00,1319.46
2007-01-16,42624.00,989.26,13430.00,3038.12,5099.00,1347.97,6932.00,1302.42
2007-01-17,42735.00,990.81,13537.00,3064.61,5121.00,1349.09,6939.00,1308.13
2007-01-18,42477.00,987.01,13452.00,3055.08,5104.00,1341.66,6905.00,1301.52
2007-01-19,43427.00,995.31,13682.00,3114.51,5207.00,1365.29,6990.00,1325.39
2007-01-22,43553.00,999.77,13810.00,3117.61,5228.00,1372.58,7009.00,1337.39
2007-01-23,44177.00,1000.58,13946.00,3124.08,5282.00,1400.05,7069.00,1348.98
2007-01-24,44686.00,1010.29,13983.00,3157.59,5340.00,1426.43,7150.00,1356.96
2007-01-26,44412.00,988.98,13971.00,3161.17,5311.00,1423.31,7139.00,1356.44
2007-01-29,43573.00,972.52,13803.00,3088.23,5223.00,1410.93,7049.00,1335.65
2007-01-30,44044.00,980.74,13926.00,3105.66,5247.00,1421.31,7109.00,1342.27
2007-01-31,44641.00,992.61,13975.00,3117.94,5295.00,1448.16,7200.00,1352.62
2007-02-01,44815.00,998.02,13986.00,3104.29,5313.00,1459.53,7259.00,1359.94
2007-02-02,44997.00,998.41,13940.00,3130.74,5327.00,1469.17,7307.00,1355.72
2007-02-05,45286.00,1005.07,13996.00,3130.13,5340.00,1496.14,7416.00,1365.49
2007-02-06,45351.00,1003.14,13876.00,3133.45,5358.00,1523.72,7486.00,1349.82
2007-02-07,44587.00,990.64,13795.00,3131.64,5328.00,1488.39,7392.00,1336.83
2007-02-08,44891.00,985.33,13982.00,3121.48,5346.00,1491.64,7392.00,1338.72
2007-02-09,44284.00,982.87,13798.00,3052.18,5287.00,1472.08,7349.00,1326.65
2007-02-12,43934.00,985.82,13749.00,3031.68,5254.00,1460.19,7308.00,1322.19
2007-02-13,45197.00,1000.89,13890.00,3050.35,5363.00,1539.58,7593.00,1343.32
2007-02-14,45995.00,1011.96,14127.00,3151.67,5466.00,1573.80,7719.00,1365.28
2007-02-15,45955.00,1010.90,14180.00,3116.22,5459.00,1587.32,7788.00,1362.61
2007-02-16,45849.00,1003.42,14206.00,3083.92,5441.00,1587.55,7774.00,1364.19
2007-02-21,46090.00,1005.41,14222.00,3074.04,5476.00,1598.33,7774.00,1367.84
2007-02-22,46452.00,1022.72,14299.00,3106.19,5518.00,1596.40,7801.00,1381.47
2007-02-23,46015.00,1014.13,14220.00,3060.26,5456.00,1576.65,7710.00,1380.35
2007-02-26,46207.00,1018.18,14253.00,3066.86,5477.00,1592.44,7750.00,1386.42
2007-02-27,43145.00,964.79,13544.00,2916.37,5160.00,1474.79,7312.00,1316.78
2007-02-28,43892.00,969.84,13761.00,2936.73,5235.00,1512.12,7398.00,1328.40
2007-03-01,43516.00,958.94,13756.00,2935.20,5203.00,1500.31,7369.00,1347.31
2007-03-02,42369.00,946.51,13484.00,2828.48,5074.00,1458.67,7218.00,1313.64
2007-03-05,41179.00,919.57,13123.00,2772.13,4936.00,1415.55,7066.00,1273.84
2007-03-06,43218.00,957.32,13528.00,2896.85,5160.00,1484.29,7353.00,1320.92
2007-03-07,42667.00,947.91,13381.00,2858.87,5114.00,1469.83,7281.00,1320.83
2007-03-08,43465.00,962.00,13612.00,2913.66,5189.00,1502.17,7409.00,1338.49
2007-03-09,44133.00,979.07,13704.00,2949.70,5253.00,1527.69,7510.00,1355.08
2007-03-12,44249.00,982.04,13599.00,2940.38,5269.00,1542.77,7562.00,1340.13
2007-03-13,42749.00,954.82,13227.00,2832.26,5104.00,1480.67,7327.00,1303.28
2007-03-14,43288.00,967.12,13387.00,2855.81,5154.00,1506.87,7430.00,1313.28
2007-03-15,43278.00,961.01,13349.00,2851.86,5162.00,1510.27,7397.00,1310.28
2007-03-16,42730.00,958.70,13224.00,2811.92,5104.00,1490.42,7345.00,1296.19
2007-03-19,43712.00,970.96,13420.00,2912.11,5215.00,1526.62,7454.00,1314.93
2007-03-20,44350.00,986.52,13640.00,2953.90,5259.00,1542.34,7558.00,1330.53
2007-03-21,45630.00,1012.07,13895.00,3053.27,5380.00,1588.04,7768.00,1355.35
2007-03-22,45424.00,1011.38,13845.00,3047.21,5352.00,1569.75,7691.00,1346.66
2007-03-23,45532.00,1013.53,13987.00,3049.09,5369.00,1583.77,7757.00,1352.61
2007-03-26,45644.00,1012.35,14073.00,3049.92,5371.00,1585.76,7744.00,1358.67
2007-03-27,45206.00,999.05,14022.00,3016.47,5319.00,1572.75,7683.00,1349.30
2007-03-28,44484.00,984.91,13856.00,2920.29,5213.00,1545.40,7582.00,1335.76
2007-03-29,45355.00,993.69,14015.00,2934.97,5273.00,1570.17,7662.00,1353.78
2007-03-30,45804.00,1004.10,14011.00,2962.42,5329.00,1600.06,7805.00,1350.09
2007-04-02,45597.00,999.40,14002.00,2899.39,5288.00,1599.34,7788.00,1342.00
2007-04-03,46288.00,1024.51,14208.00,2974.57,5408.00,1618.67,7886.00,1361.09
2007-04-04,46553.00,1033.47,14213.00,2997.09,5454.00,1630.21,7917.00,1362.74
2007-04-05,46646.00,1035.63,14267.00,3020.73,5471.00,1624.55,7886.00,1364.75
2007-04-09,46854.00,1032.13,14392.00,3027.10,5486.00,1633.34,7915.00,1370.21
2007-04-10,47174.00,1026.63,14500.00,3040.47,5504.00,1641.27,7932.00,1376.56
2007-04-11,46939.00,1010.59,14447.00,2984.64,5457.00,1623.19,7837.00,1369.17
2007-04-12,47346.00,1019.32,14461.00,2997.28,5483.00,1631.23,7861.00,1373.00
2007-04-13,47926.00,1032.41,14602.00,3015.45,5516.00,1655.63,7966.00,1386.04
2007-04-16,48921.00,1053.04,14772.00,3121.85,5639.00,1687.19,8094.00,1401.00
2007-04-17,48755.00,1060.08,14784.00,3147.67,5670.00,1673.42,8060.00,1400.76
2007-04-18,48709.00,1058.77,14918.00,3151.59,5667.00,1675.03,8087.00,1413.95
2007-04-19,48762.00,1065.66,15021.00,3176.97,5685.00,1675.64,8127.00,1424.16
2007-04-20,49408.00,1077.17,15184.00,3221.00,5762.00,1706.37,8252.00,1437.53
2007-04-23,49162.00,1064.10,15083.00,3200.91,5744.00,1703.47,8213.00,1431.52
2007-04-24,49070.00,1073.67,15092.00,3156.87,5722.00,1685.26,8201.00,1431.49
2007-04-25,49675.00,1080.86,15331.00,3214.21,5788.00,1695.15,8254.00,1455.31
2007-04-26,49067.00,1073.92,15285.00,3199.48,5742.00,1677.32,8209.00,1450.40
2007-04-27,49229.00,1076.68,15418.00,3210.13,5759.00,1687.43,8238.00,1456.68
2007-04-30,48956.00,1063.91,15546.00,3147.24,5713.00,1692.67,8233.00,1456.94
2007-05-02,49471.00,1087.47,15542.00,3200.64,5789.00,1707.31,8337.00,1468.11
2007-05-03,50218.00,1100.05,15790.00,3258.13,5888.00,1728.44,8464.00,1494.62
2007-05-04,50597.00,1104.40,15906.00,3296.11,5947.00,1755.05,8500.00,1512.29
2007-05-07,50281.00,1102.66,15944.00,3301.51,5934.00,1750.35,8471.00,1516.16
2007-05-08,50277.00,1107.16,15904.00,3357.60,5943.00,1739.69,8459.00,1516.22
2007-05-09,51300.00,1125.99,16118.00,3481.79,6100.00,1784.81,8631.00,1533.61
2007-05-10,50234.00,1105.57,15983.00,3384.91,5976.00,1749.53,8470.00,1522.06
2007-05-11,50902.00,1114.68,16111.00,3405.32,6044.00,1767.64,8537.00,1538.39
2007-05-14,50510.00,1106.54,15899.00,3344.74,5977.00,1754.21,8507.00,1532.09
2007-05-15,50518.00,1105.24,15979.00,3371.77,5987.00,1760.64,8551.00,1527.20
2007-05-16,51737.00,1130.52,16391.00,3477.02,6113.00,1797.98,8709.00,1560.98
2007-05-17,51631.00,1130.39,16402.00,3502.36,6110.00,1802.60,8747.00,1555.73
2007-05-18,52077.00,1135.13,16396.00,3569.70,6172.00,1821.35,8832.00,1563.24
2007-05-21,52423.00,1144.36,16449.00,3583.26,6184.00,1829.54,8882.00,1566.65
2007-05-22,52208.00,1139.05,16422.00,3534.48,6139.00,1800.66,8765.00,1570.88
2007-05-23,51812.00,1126.77,16449.00,3516.20,6116.00,1773.96,8678.00,1577.83
2007-05-24,50530.00,1103.33,16148.00,3414.14,5970.00,1730.16,8506.00,1577.82
2007-05-25,51617.00,1125.25,16496.00,3459.41,6084.00,1771.51,8664.00,1585.78
